Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
1,1,5,-10,-2.60643395,3,2,0.010299625,-0.055222089,-0.257894737,6,-12555
0,1,5,-11,4.10951403,0,-2,0.149114631,0.15,0.010893246,-3,3605
1,1,5,-3,4.32032855,4,2,-0.00638475,-0.054094292,-0.115384615,11,-785
1,1,5,-15,5.11704312,-11,-6,0.032244009,-0.135659522,0.019230769,6,-4800
0,1,5,3,-5.78507871,5,0,0.100103093,0.155195681,0.167877907,-2,8625
0,1,5,-6,3.61943875,-14,-6,0.009477541,0.022661397,0.242254573,-12,6675
1,1,5,2,0.01916496,5,2,-0.018018018,-0.063669689,-0.176315789,1,-7845
1,1,3,-18,-4.73921972,-6,4,-0.079120879,-0.021198356,-0.152777778,-40,127
1,1,3,2,7.4825462,-8,2,-0.115942029,-0.246527778,-0.0625,615,-663
0,1,3,-5,2.75975359,-5,-1,0.042776736,0.027972028,0.233333334,119,-1346
1,1,3,-18,0.73921971,-19,0,0.010571769,-0.088863463,0.004232805,-27,74
0,1,3,-2,2.37919233,9,1,-0.05938198,0.246153846,-0.103448276,-56,292
0,1,3,0,-8.55852156,-1,0,0.093337524,0.032477947,-0.177419355,72,-1844
0,1,3,-10,6.90759753,-6,-2,0.110344828,0.09929078,-0.116161616,-35,111
0,1,3,-11,7.31827515,0,-3,0.135701275,0.23615465,0.071428571,72,-1077
0,1,3,-5,-5.54414784,0,-1,0.028210403,0.056530214,0.151098901,-58,247
0,1,3,13,0.05201917,9,0,-0.012121212,0.19047619,0.065162907,118,-1777
0,1,3,-5,2.20123204,-6,0,-0.016927899,0.166891892,0.111111112,-72,2099
0,1,3,5,-16.80219028,4,6,-0.010595762,0.061933739,-0.013513514,-36,164
0,1,3,2,7.41957563,11,2,0.008169934,0.004761904,0.013257576,15,-92
1,1,3,-2,1.00205338,-2,0,-0.006144393,0.043859649,-0.166666667,43,-1946
1,1,3,13,-15.26899384,6,0,0.19502457,0.026862807,-0.19047619,-8,42
1,1,3,11,1.52498289,13,0,-0.018803419,0.05150463,-0.118589744,123,-2302
1,1,3,0,4.42984257,2,-2,0.082633053,-0.10877193,-0.175757576,83,-2151
0,2,3,5,1.10882956,11,-3,0.157670455,-0.005555556,0.136842105,-37,162
1,2,3,-8,-2.45037645,3,5,-0.078785211,0.116724738,-0.396969697,19,-95
0,2,3,-10,-3.44147844,2,1,0.122655122,0.141536273,0.07,58,-240
0,2,3,-12,9.78781657,-3,-2,-0.026483051,-0.003496504,0.2,-10,67
1,2,3,-10,7.43600274,0,4,-0.061395349,-0.34,-0.166666667,48,-229
0,2,3,-8,-0.80219028,-2,-7,-0.006153846,0.273809524,0.077294686,-96,242
1,2,3,5,-6.68309377,1,-2,-0.003074867,0.034413765,-0.093093093,132,-1214
1,2,3,5,3.8329911,10,1,-0.038202247,0.08984127,-0.124542124,26,-146
0,2,3,-7,9.13347023,4,-1,0.051282052,0.16875,0.25,-83,376
1,2,3,-13,7.09103353,-8,1,0.02462888,-0.238948626,-0.06,79,-633
1,2,3,2,-1.9137577,3,-2,0.134542705,-0.196428571,-0.185520362,67,-305
1,2,3,0,6.32443532,7,3,-0.233157895,-0.157657657,0.012820513,-33,792
0,2,3,0,3.53182752,9,5,-0.004349177,0.197278912,0,-32,406
0,2,3,-10,10.85010267,17,-1,-0.093332112,0.096896087,0.077336197,39,-934
1,2,3,15,-7.45790555,-4,1,0.040723982,-0.233333333,-0.174825174,-3,11
1,2,3,-5,6.03969883,4,-4,-0.033853786,-0.015419501,-0.26875,24,-354
0,1,3,-15,2.22587269,0,-2,-0.015394088,0.285434995,0.08,-32,405
1,1,3,-5,0.81587953,-4,0,-0.011198946,-0.219230769,-0.266283525,10,-64
1,1,3,-6,-1.70020534,-1,-4,0.090126703,-0.09047619,-0.015550239,19,-110
0,1,3,8,0.7008898,15,-2,0.066798615,0.409090909,0.09,-80,484
1,1,3,2,-1.85900068,1,-1,0.020336606,-0.144688645,-0.077294686,35,-188
1,1,3,5,4.71457906,0,5,-0.078074867,0.04492363,-0.034821429,12,-58
1,1,3,3,-1.42915811,-1,1,0.139700642,-0.395348837,-0.088888889,109,-1020
0,1,3,6,8.59411363,4,1,0.095288432,0.146133926,0.097619047,-45,452
0,1,3,-3,4.57768651,-1,-2,0.016775777,0.085568327,0.382608696,-63,591
1,1,3,6,3.96440794,6,0,-0.065309691,0.034094671,-0.112903226,2,-48
0,1,3,18,7.11841205,16,0,0.0375,0.10490956,0.015015015,-54,364
0,1,3,-10,2.29979466,-4,-7,0.121463643,-0.001707651,0.057082452,-165,601
0,1,3,15,-2.32169747,13,-2,-0.076502733,0.105555556,0.14,-9,325
0,1,3,0,-5.38535249,-1,0,0.065901012,0.019163763,0.028571429,13,-280
1,1,3,-5,-0.07118412,-11,0,-0.207219251,-0.149206349,0.045548654,-15,370
0,1,3,0,0.20807666,-2,0,-0.07954125,0.040322581,0.2,-31,930
1,1,3,-3,-3.41409993,-2,6,0.003703704,0.001768868,-0.218058969,19,-555
1,1,3,10,4.93360712,6,0,-0.095492743,0.058953901,-0.233333333,24,-805
0,1,3,-10,-2.17385353,-3,-1,0.0191582,0.223684211,0.026455026,-7,300
1,2,3,8,-2.04243668,-8,-2,0.095796676,-0.169683258,-0.180555556,11,-222
1,2,3,-3,-3.00616016,-7,0,0.03483835,-0.107728337,-0.065628476,34,-340
0,2,3,8,-4.73374401,8,2,-0.128229666,0.277777777,0.029239767,-53,247
1,2,3,-12,3.36755646,-3,1,0.053744799,-0.084107327,-0.043478261,-21,620
0,2,3,-3,-2.14647502,2,0,0.019719648,0.112093023,0.078947368,-45,966
1,2,3,10,3.77275839,4,1,-0.033327456,0.121052632,-0.172173913,-58,574
1,2,3,-3,-4.10677618,0,6,0.021905805,-0.13277311,0.06875,8,-61
1,2,3,8,-1.90280629,-5,-4,0.000514668,-0.190878378,-0.061538462,38,-377
0,2,3,0,2.0752909,1,0,-0.016666667,0.230769231,0.467032967,-28,1835
0,2,3,-7,5.12251882,4,2,-0.09469697,0.05,0.117471676,27,-166
0,2,3,7,-2.7761807,0,-2,0.187357197,0.059757236,0.042857143,-123,1307
1,2,3,26,5.17727584,7,-1,0.12605042,0.09178744,-0.053333333,-67,1897
0,2,3,13,10.66940452,3,-3,0.085562988,0.03923445,0.150310559,-37,210
1,2,3,0,2.17932923,-1,-2,-0.01150417,-0.180642469,0.4,50,-4080
0,2,3,-5,3.75085558,-4,0,0.113523852,-0.08627451,-0.024411509,-29,3225
1,2,3,5,0.3449692,-1,3,0.004255319,-0.234126985,-0.278508772,-63,2176
0,2,3,5,-3.17864476,0,3,0.153595658,0.311403509,-0.136622391,-60,1037
1,2,3,-2,4.46543464,3,0,-0.168498168,0.024242425,-0.266666667,47,-4049
0,2,3,8,-3.38672142,4,0,0.036628734,0.132879819,-0.136653895,66,-3596
0,2,3,0,-7.25256673,7,-2,-0.040220293,-0.030990991,0.136513158,14,-3155
0,2,3,2,-8.03559206,1,5,0.145148546,-0.029140014,-0.030651341,-53,996
0,1,3,5,-2.22587269,5,-2,0.140211641,0.192434211,0.241106719,-22,102
1,1,3,0,5.2128679,-1,0,-0.064343658,-0.13821368,-0.045546558,-11,32
1,1,3,3,4.38877481,0,2,0.118421053,-0.004545455,-0.145454545,50,-220
1,1,3,13,8.41615332,-2,0,-0.218196457,-0.030165913,-0.364285714,29,-150
0,1,3,-5,7.9945243,4,0,0.039314516,0.136447733,0.044444444,41,-221
0,1,3,-7,-3.27994525,-1,1,0.057573312,0.168641115,0.049242424,-50,259
1,1,3,-3,-1.9137577,-2,1,0.051516503,-0.151020408,-0.138888889,-24,117
1,1,3,-3,-4.64339493,7,3,0.132352941,-0.115942029,-0.34047619,-34,160
1,1,3,5,-2.35455168,7,-1,0.172148541,-0.182903834,-0.135714286,117,-3752
1,1,3,8,0.91170431,0,-2,0.084848485,-0.014705882,-0.291666667,-54,266
0,1,3,-5,-2.00958247,5,-3,0.006293706,0.059379218,0.185185186,-86,3623
1,1,3,20,2.22861054,4,3,0.048701299,-0.045854733,-0.133333333,51,-3450
1,1,3,-10,2.05886379,-5,1,0.013929619,-0.262068966,0.063636364,52,-1743
0,1,3,3,0.78850103,15,4,0.079797979,0.071384804,-0.206593406,4,-80
1,1,3,7,1.82067077,7,2,0.003968254,-0.078181818,0.004784689,660,-1112
1,1,3,13,-4.3449692,3,1,-0.088888889,-0.009881423,-0.215811966,-66,1063
1,1,3,7,-2.27241616,-5,-1,0.087459416,-0.174160207,0.086309524,48,-1473
1,1,3,-5,6.82546201,9,0,-0.018353727,0.069556452,-0.3,-29,262
1,1,3,-3,-1.99589322,1,-2,-0.127380953,-0.040169133,-0.023017903,62,-1119
1,1,3,2,-0.95824778,1,0,-0.100022032,-0.037122375,0.113461538,16,-789
0,1,3,10,-7.19507187,3,3,0.001076555,0.057758952,0.203296703,4,-70
