Result,surface,winner_ht,winner_age,loser_ht,loser_age,best_of,w_ace,w_df,%w_FSrv,%w_FSrvWon,%w_2ndWon,%l_FSrv,%l_FSrvWon,%l_2ndWon,l_ace,l_df,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,1,183,31.14852841,180,26.50513347,3,6,1,0.8,0.75,0.461538462,0.53968254,0.735294118,0.413793103,4,4,50,945,61,770
1,1,188,31.88227242,178,34.93497604,3,13,4,0.64893617,0.754098361,0.545454545,0.578947368,0.709090909,0.475,4,2,143,407,283,148
1,2,180,33.13073238,188,31.08829569,3,4,5,0.532608696,0.734693878,0.372093023,0.52688172,0.632653061,0.477272727,3,4,63,751,93,605
0,2,188,31.08829569,190,28.37234771,3,0,5,0.684210526,0.723076923,0.433333333,0.590361446,0.734693878,0.441176471,2,5,93,605,80,696
1,2,185,29.88911704,185,28.75838467,3,7,4,0.606382979,0.754385965,0.486486486,0.611111111,0.709090909,0.428571429,1,7,40,1062,46,975
0,2,190,28.37234771,185,35.08008214,3,3,5,0.537313433,0.694444444,0.580645161,0.512820513,0.75,0.315789474,1,3,80,696,44,1007
0,2,180,33.13073238,170,26.50787132,3,1,0,0.578947368,0.727272727,0.75,0.447368421,0.470588235,0.380952381,0,0,63,751,19,1940
0,1,193,23.8329911,198,21.85078713,3,13,5,0.61971831,0.772727273,0.37037037,0.734693878,0.722222222,0.384615385,7,1,72,750,3,6475
0,1,193,23.8329911,206,33.83436003,3,25,1,0.672897196,0.819444444,0.542857143,0.716981132,0.828947368,0.533333333,24,6,72,750,9,3270
0,1,193,23.8329911,183,33.9137577,3,7,2,0.64893617,0.803278689,0.515151515,0.566037736,0.8,0.47826087,15,4,72,750,42,1040
